index,date,open,high,low,close,volume,CT,QV,N,TB,TQ,I
0,2023-12-11 00:00:00,0.00020066,0.00020122,0.00020031,0.00020076,161008065.93,1702252859999.0,32321.32901391,256.0,78472254.13,15756.6651035,0.0
1,2023-12-11 00:01:00,0.00020074,0.00020087,0.00020022,0.00020059,259980874.8,1702252919999.0,52142.06548644,320.0,78129818.06,15666.98442157,0.0
2,2023-12-11 00:02:00,0.00020053,0.00020071,0.00020036,0.00020036,135514460.12,1702252979999.0,27171.00552518,196.0,53818387.49,10794.81336259,0.0
3,2023-12-11 00:03:00,0.00020036,0.00020051,0.0002001,0.0002001,215033832.72,1702253039999.0,43066.85792532,195.0,107941842.23,21626.39366192,0.0
4,2023-12-11 00:04:00,0.00020029,0.00020069,0.0002001,0.00020038,190927021.2,1702253099999.0,38272.51713762,242.0,116794307.43,23415.81576911,0.0
5,2023-12-11 00:05:00,0.00020033,0.00020143,0.00020033,0.00020128,366327294.78,1702253159999.0,73596.37877035,349.0,197488981.11,39676.3142259,0.0
6,2023-12-11 00:06:00,0.00020141,0.00020158,0.00020108,0.00020145,337863494.58,1702253219999.0,68022.1952774,335.0,229487708.48,46203.70840826,0.0
7,2023-12-11 00:07:00,0.00020149,0.00020195,0.00020146,0.00020167,298185962.88,1702253279999.0,60160.2136355,338.0,165489349.71,33388.52925186,0.0
8,2023-12-11 00:08:00,0.00020165,0.00020203,0.00020148,0.000202,206816033.71,1702253339999.0,41752.11594849,228.0,130963223.05,26437.29636062,0.0
9,2023-12-11 00:09:00,0.000202,0.000202,0.00020161,0.00020171,314662649.21,1702253399999.0,63513.08561144,270.0,114256550.06,23055.58623178,0.0
10,2023-12-11 00:10:00,0.00020162,0.00020179,0.00020138,0.00020146,200760930.76,1702253459999.0,40464.5452148,281.0,92332438.68,18613.54573844,0.0
11,2023-12-11 00:11:00,0.00020148,0.00020173,0.00020111,0.00020123,200174554.94,1702253519999.0,40317.89618548,227.0,99678342.15,20075.17770913,0.0
12,2023-12-11 00:12:00,0.00020124,0.00020146,0.00020124,0.00020133,199985689.85,1702253579999.0,40265.53121147,176.0,146657106.56,29529.85603995,0.0
13,2023-12-11 00:13:00,0.00020132,0.00020195,0.00020131,0.00020163,181753262.14,1702253639999.0,36663.54498243,195.0,134479324.76,27126.79977033,0.0
14,2023-12-11 00:14:00,0.00020164,0.00020195,0.0002015,0.00020184,64629801.39,1702253699999.0,13031.88745317,91.0,39923387.9,8051.09340995,0.0
15,2023-12-11 00:15:00,0.00020183,0.00020207,0.00020154,0.00020162,133512486.87,1702253759999.0,26942.95941358,231.0,76366920.89,15413.76595259,0.0
16,2023-12-11 00:16:00,0.00020171,0.00020189,0.00020163,0.00020179,95726888.63,1702253819999.0,19316.64502983,103.0,58632538.06,11831.17240305,0.0
17,2023-12-11 00:17:00,0.00020176,0.00020176,0.00020038,0.00020043,301659626.08,1702253879999.0,60580.2421185,468.0,69779398.63,14014.1330068,0.0
18,2023-12-11 00:18:00,0.00020037,0.00020074,0.00020028,0.00020055,560168870.2,1702253939999.0,112322.97482591,291.0,352339027.55,70666.17641104,0.0
19,2023-12-11 00:19:00,0.00020051,0.00020118,0.00020044,0.000201,241913196.6,1702253999999.0,48601.1762182,133.0,18611956.59,3739.26145633,0.0
20,2023-12-11 00:20:00,0.00020111,0.00020142,0.00020065,0.00020142,150364579.69,1702254059999.0,30239.60995084,176.0,97467008.4,19603.84270483,0.0
21,2023-12-11 00:21:00,0.00020143,0.00020199,0.00020135,0.00020199,173947229.68,1702254119999.0,35081.96882325,309.0,141876212.42,28615.53986387,0.0
22,2023-12-11 00:22:00,0.000202,0.00020254,0.00020189,0.00020254,455856930.93,1702254179999.0,92193.79345794,454.0,275546601.61,55716.87640273,0.0
23,2023-12-11 00:23:00,0.00020251,0.00020266,0.0002019,0.00020203,325685656.04,1702254239999.0,65949.01948506,302.0,173091670.8,35056.76999109,0.0
24,2023-12-11 00:24:00,0.00020202,0.00020276,0.00020192,0.00020276,198221133.22,1702254299999.0,40126.92214843,258.0,122548365.17,24801.05087595,0.0
25,2023-12-11 00:25:00,0.00020277,0.0002031,0.00020176,0.00020184,349400904.42,1702254359999.0,70721.1614171,506.0,214150158.35,43352.27679681,0.0
26,2023-12-11 00:26:00,0.00020185,0.00020192,0.00020097,0.00020106,211553403.2,1702254419999.0,42607.36869632,374.0,51334310.03,10340.0591415,0.0
27,2023-12-11 00:27:00,0.00020096,0.00020155,0.00020096,0.00020134,175002880.91,1702254479999.0,35225.07285155,217.0,116577413.88,23466.70628302,0.0
28,2023-12-11 00:28:00,0.00020138,0.00020153,0.00020114,0.00020146,104465037.9,1702254539999.0,21039.87245957,135.0,59269519.1,11939.24729636,0.0
29,2023-12-11 00:29:00,0.00020146,0.00020182,0.0002012,0.00020181,94025976.07,1702254599999.0,18949.81877508,177.0,44786708.06,9025.0680211,0.0
30,2023-12-11 00:30:00,0.00020179,0.00020254,0.00020161,0.00020214,227283963.92,1702254659999.0,45936.41594429,280.0,74884871.05,15143.38548471,0.0
31,2023-12-11 00:31:00,0.00020207,0.00020297,0.0002019,0.00020273,349173123.07,1702254719999.0,70633.65304605,307.0,266731033.28,53956.32237477,0.0
32,2023-12-11 00:32:00,0.0002027,0.0002027,0.0002024,0.0002025,176943139.7,1702254779999.0,35842.31661355,151.0,111899869.67,22665.6994286,0.0
33,2023-12-11 00:33:00,0.00020261,0.00020285,0.00020222,0.00020251,644318745.75,1702254839999.0,130561.62571643,271.0,346592162.53,70232.48208454,0.0
34,2023-12-11 00:34:00,0.00020253,0.00020282,0.0002024,0.00020267,147710577.36,1702254899999.0,29925.67907331,145.0,121003242.79,24516.44246515,0.0
35,2023-12-11 00:35:00,0.00020257,0.00020257,0.00020195,0.00020195,154564717.18,1702254959999.0,31274.75324009,196.0,70577165.97,14279.16385589,0.0
36,2023-12-11 00:36:00,0.00020203,0.00020204,0.00020154,0.00020184,110088545.38,1702255019999.0,22215.9538859,162.0,35143057.79,7094.17226338,0.0
37,2023-12-11 00:37:00,0.00020176,0.00020177,0.00020117,0.00020123,175018042.39,1702255079999.0,35261.55319097,182.0,26419825.3,5325.69627378,0.0
38,2023-12-11 00:38:00,0.0002012,0.00020154,0.000201,0.00020132,165256690.17,1702255139999.0,33237.23370277,226.0,66691819.21,13416.80509588,0.0
39,2023-12-11 00:39:00,0.00020122,0.00020136,0.0002011,0.00020127,58073156.1,1702255199999.0,11685.42661768,111.0,36365043.12,7318.26475046,0.0
40,2023-12-11 00:40:00,0.0002012,0.00020163,0.0002011,0.00020139,397219813.81,1702255259999.0,79999.94155832,264.0,356877903.03,71880.99141328,0.0
41,2023-12-11 00:41:00,0.00020142,0.00020185,0.0002009,0.00020127,237867454.87,1702255319999.0,47910.71009859,244.0,146055890.51,29435.26608869,0.0
42,2023-12-11 00:42:00,0.00020125,0.00020139,0.00020118,0.00020118,337249983.5,1702255379999.0,67855.31937838,298.0,91023137.28,18317.7752191,0.0
43,2023-12-11 00:43:00,0.00020118,0.00020187,0.00020118,0.00020159,113754086.0,1702255439999.0,22926.09713929,287.0,56361136.07,11356.69505891,0.0
44,2023-12-11 00:44:00,0.00020154,0.00020197,0.00020152,0.00020191,135444220.86,1702255499999.0,27324.64836687,160.0,94945042.13,19154.72473415,0.0
45,2023-12-11 00:45:00,0.00020195,0.00020204,0.00020082,0.00020109,588375482.4,1702255559999.0,118467.69118828,306.0,49742143.84,10022.30324259,0.0
46,2023-12-11 00:46:00,0.00020111,0.00020123,0.00020062,0.00020111,356479099.54,1702255619999.0,71637.49457949,280.0,267624196.07,53782.87534629,0.0
47,2023-12-11 00:47:00,0.00020115,0.00020134,0.00020082,0.0002011,83603856.98,1702255679999.0,16807.35785678,206.0,43861410.91,8816.58417559,0.0
48,2023-12-11 00:48:00,0.00020108,0.00020121,0.00020092,0.00020112,69063407.29,1702255739999.0,13884.35589125,126.0,37435537.77,7526.062298,0.0
49,2023-12-11 00:49:00,0.00020119,0.00020131,0.00020074,0.00020103,122799209.36,1702255799999.0,24681.93994527,136.0,71962809.72,14464.48584703,0.0
50,2023-12-11 00:50:00,0.00020102,0.00020116,0.00020077,0.00020088,289148777.27,1702255859999.0,58116.92973755,198.0,47085186.82,9463.30240324,0.0
51,2023-12-11 00:51:00,0.00020077,0.00020083,0.0002005,0.00020069,1079690682.3,1702255919999.0,216681.78556901,373.0,90453517.8,18155.74240895,0.0
52,2023-12-11 00:52:00,0.00020079,0.00020103,0.00020058,0.00020064,85858062.03,1702255979999.0,17239.38690617,149.0,36288630.52,7288.96399568,0.0
53,2023-12-11 00:53:00,0.00020067,0.00020103,0.00020051,0.00020097,220075973.26,1702256039999.0,44173.9151391,183.0,129944626.55,26079.91358277,0.0
54,2023-12-11 00:54:00,0.00020099,0.00020164,0.00020099,0.00020154,199433345.51,1702256099999.0,40176.45115061,249.0,144041126.36,29017.30569897,0.0
55,2023-12-11 00:55:00,0.00020149,0.00020149,0.000201,0.00020107,42115649.37,1702256159999.0,8471.3702875,113.0,28737275.36,5780.3298526,0.0
56,2023-12-11 00:56:00,0.000201,0.00020145,0.00020068,0.00020135,150908250.98,1702256219999.0,30343.65552927,188.0,118284949.24,23783.78992636,0.0
57,2023-12-11 00:57:00,0.00020137,0.00020144,0.00020119,0.00020128,83889818.71,1702256279999.0,16889.03278645,96.0,56321501.85,11338.96688594,0.0
58,2023-12-11 00:58:00,0.00020129,0.00020158,0.00020119,0.00020149,370763870.65,1702256339999.0,74642.6794635,259.0,151404735.72,30491.23117703,0.0
59,2023-12-11 00:59:00,0.00020138,0.00020212,0.00020062,0.00020062,171081198.57,1702256399999.0,34466.02171895,466.0,82996804.33,16730.54935409,0.0
60,2023-12-11 01:00:00,0.00020071,0.00020117,0.000199,0.00019911,1234461162.85,1702256459999.0,246954.72846599,1776.0,431853046.82,86506.08023559,0.0
61,2023-12-11 01:01:00,0.00019911,0.00019956,0.0001985,0.00019864,876891630.72,1702256519999.0,174464.81598645,1192.0,502488549.82,100008.22922347,0.0
62,2023-12-11 01:02:00,0.00019867,0.00019893,0.0001985,0.0001985,493422903.35,1702256579999.0,97998.08574505,653.0,208381964.12,41392.62357848,0.0
63,2023-12-11 01:03:00,0.0001985,0.00019861,0.0001973,0.00019788,1373453425.11,1702256639999.0,272001.89631321,1899.0,361796051.81,71603.10543907,0.0
64,2023-12-11 01:04:00,0.00019783,0.00019829,0.00019775,0.00019805,327052892.99,1702256699999.0,64761.04779293,489.0,136963923.92,27122.34137876,0.0
65,2023-12-11 01:05:00,0.00019801,0.00019805,0.00019701,0.00019706,764398913.7,1702256759999.0,150877.94007148,978.0,430027037.57,84887.22716177,0.0
66,2023-12-11 01:06:00,0.00019713,0.0001976,0.00019713,0.00019738,345719443.01,1702256819999.0,68223.73452525,507.0,127745570.57,25211.90829187,0.0
67,2023-12-11 01:07:00,0.00019732,0.00019758,0.00019653,0.00019696,798749916.85,1702256879999.0,157329.56155742,1045.0,298240533.75,58764.63026352,0.0
